code;entityMask;methodMask;ruleType;ruleRole;description
ORG_READ_USERS;org*;select;A;User;Allow read all ORG model entities for users role
ORG_UNIT_DENY;org_unit;[iuda]*;D;Everyone;Deny direct modification of UNITY org_unit
