ID;code;name;fullName;
1;30;Державна;Державна власність;
2;31;Загальнодержавна;Загальнодержавна власність;
3;40;Інших держав;Власність інших держав;
4;20;Колективна;Kолективна власність;
5;32;Комунальна;Комунальна власність;
6;50;Міжнародних організацій та юр. осіб;Власність міжнародних організацій та юридичних осіб;
7;10;Приватна;Приватна власність;
