OKPOCode;name
32298061;"ДП ""Азовський центр ""ПівденНІРО""";
32404794;"ТОВ ""КОФІТІ""";
32485166;ТОВ БЕНІШ ДЖІ ПІ ЕС УКРАЇНА;
32624971;"ДП ""ОЧЕНЬ ХОРОШО""";
32633944;ДКМ ТОВ;
32820724;"ТОВ""Корн-Iнвест""";
32851684;"ІДП ""А. Коркунов -Україна ДПіІ""";
32856090;"ЗАТ ""Інтернафтагаз""";
32932071;`ГРАТІЙАС-К` ТОВ;
32998661;"ООО ""Малби Фудс""";
33051743;К\з по гот.пл.ф\о на ю\о(ком.ф\о;
33081249;ЗАТ`ПАСАЖ`;
33104606;"TOB ""Транспортний Ассистанс""";
33209208;"ТОВ ""Аверса-Україна""";
33225408;"ТОВ""СIАМ ЦЕНТР""";
33228021;ДАЙВЕР.ТОВ НВП;
33266596;ГРУППА ИКОНА, ООО;
33323245;Кристал;
00226997;"ВАТ ""МУКАЧ.З-Д КОМПЛЕКТНИХ ЛАБОРАТОРІЙ";
00300363;СЛАВЯНСКИЙ З-Д ТОРЭЛАСТ, ОАО;
00307336;"ВАТ ""БЦ вир.-торг.ТРИКОТАЖНЕ п-во""";
00375042;КОЗЛIВСЬКИЙ СПИРТЗАВОД;
00375326;"ВАТ ""ОД.ЗАВОД МІНЕР.ВОДИ ""КУЯЛЬНИК""";
00382987;ЗАТ ЛИСПИ;
00383136;ОАО Феодосийская табачная фабрика;
01565023;"ВАТ ""Гермес""";
02770535;ОАО ` ДОМ ТОРГОВЛИ ЮЖНЫЙ БУГ`;
02789291;Горловское городское отд. N 2864 ОБ;
02969219;Темп АТЗТ Днiпропетровський завод;
05505302;Кримська дс i-ту експ. i кл. ветмед.;
05583489;"ЗАТ КОМПЛЕКТАЦИИ ""ТЕЛЬКОМ""";
05758925;АТ ПЕМЗ IМ.КАРЛА МАРКСА;
05761318;"ВАТ "" АК "" СВЕМА""";
06955154;"НАУКОВО-ВИРОБ.К-В ""ПРОДЕКТ""";
09305439;"Ф-Я ""ДНІПРОПЕТРОВСЬКЕ ЦЕНТР.ВІДД.ПІБ""";
13547194;Житомир НДІ Радіосистем;
13674645;"ЗАТ РНВП ""Укрекспо-Процес""";
13970473;"АТ фірма ""АВТОБАН""";
14057222;ВАТ Керамiк Бережани;
14308931;"ОАО ""Электрон-Газ""";
19046619;"ЗАТ Фирма ""ЭЛЛИПС""";
19124549;"ТОВ ""НВФ РЕЛЕ""";
19125158;"ТОВ ""ПРЕС""";
19231110;ООО НП ФИРМА МОНАДА;
20064350;Платежі, приняті від фіз.осіб;
20280013;ДНЕПР-ДЕСНА ЧПКФ;
20825642;ТзОВ ОРЦ НМ  СІДУС;
21217525;"АТ ""Телерадіокомпанія ""Simon""";
21242894;"АТ КОРПОРАЦIЯ ЕПМ""";
21508429;"ТОВ ""АЛЬФА""";
21853474;Дн.институт нар.медицины;
22525915;"НГДУ ""ПОЛТАВАНАФТОГАЗ"" ВАТ ""УКРНАФТ";
22847240;"ВАТ ""СКБ ЕЛЕКТРОНМАШ""";
22929400;"ТОВ""Схiдно-європейськi послуги зв""язку";
23235378;"ПП ""А.М.""";
23285123;"ТОВ ""МIНI-МАКС""";
23599138;БИЗНЕС-ПАРНЕР;
23687979;Прочие поступления;
23708247;"ЗАТ ""Видавничий будинок ""Максімум""";
24027624;ООО ПРЕСТИЖ АВТО;
24095287;"ТОВ ""ФIРМА СЕНДI""";
24721402;"ПП ""Ш.А.Г.""";
24793583;"ВАТ ""Хлібзавод N 4""";
24932381;ДЕ-ВІ УКРАЇНА ТОВ;
25189719;"ООО""Технополис Машиностроение ""(ПДВ)";
25221788;ПОЛIГОH-АВТО,ТОВ;
25646447;"Острівська ФАКБ ""Hацкредит""";
26085169;Платежi населення щоден м Бахмач;
26170395;"МБО ""ФОНД СУСПІЛЬНОГО ВИЗНАННЯ""";
30203266;НАША EДНIСТЬ, ТОВ;
30354045;АОЗТ КАРБО И КРЕПЬ;
30577569;"ТОВ ""АТІКА""";
30714555;ДНЕПРОМАШСТРОЙ, ООО НПП;
30739470;"ТЗОВ ""Hектаp-Плюс""";
30883688;"ТОВ ТБ ""Слобожанка""";
30983669;ТЗОВ НВЦ ПВ`IНТЕЛЕКТ`;
31058794;"ТОВ ""Нове столiтя""";
31145719;"ТзОВ ""Шуляк i Наждак Груп""";
31213626;КОРПОРАЦИЯ МИНЕРАЛ, ООО;
31261769;ОООПК ГОРНОДОБЫВАЮЩАЯ ПРОМЫШЛЕННОСТЬ;
31285947;"ТОВ ""Завод продтоварiв ""Ретро""";
31376473;ТОВ НВФ `Нью Мілленіум`;
31428662;"Компанія ""ЕЛІТ ТЕНІС КЛАБ""";
31484381;ТОВ ДЕЛЬТА-КІТ;
31555572;"ТОВ ""БIТ-СЕРВIС""";
31680472;УКРЦВЕТМЕТОБРАБОТКА,ЗАО НИС;
31701515;"ПП""Меблева фабрика ""Роміра""";
31793543;"ТОВ ""ЮГ-СТЕКЛО""";
31816895;"ТОВ ""АМІД""";
31965284;БАЛТИМОР ТРЕЙД ООО;
31991948;"ЗАТ""Карналіт""";
32059008;"СТ ВТК ""Укрколор""";
32112087;`ІНТЕРАКТИВПІВДЕНЬ`ТОВ;
32158858;"ООО ""АГРОФИРМА ""ЗОЛОТАЯ БАЛКА""";
32159146;`ТОРГОВИЙ ДІМ `СТИЛЬ` ТОВ;
32388851;"ТОВ ""ДХЗ""";
32421704;ТОВ АЛЬТЕРНАТІВ УКРАЇНА;
32496010;"ООО ""ДРУЖКОВСКИЙ МАШИНОСТРОИТЕЛЬ""";
32572955;МАКСИМУС, ПП;
32589204;"ТОВ ""МИСЛИВЕЦЬ""";
32713144;"ПП ""Кук""";
32735000;"ТОВ ""Естет-Клас""";
32910592;ТОВ МІНТАЙ ТЕКСТИЛЬ;
32915454;"ТОВ ""Вiнарх""";
33017634;АЛЬДО,ООО;
33249146;ТЕХНОКАПИТАЛ ООО;
00024360;УКРАЄНСЬКА АКАДЕМIЯ АГРАРНИХ НАУК;
00171144;ГП ДонНИИ;
00240158;ВАТ З-д Автомоб.кранiв м.Дрогобич;
00300038;"КП ""ОДЕСЬКА ХУТРОВА ФАБРИКА""";
00372865;"ВАТ ""С-Степанівський цукрокомбінат""";
00382728;АОЗТ Новомосковск.з-д минвод;
00497242;Iн-т землеробства пiвд.регiону;
01414873;"ОАО ""Укрмонтажхимзащита""";
01553451;"ЗАТ ""Продпостачторг""";
02071062;ОДЕС.ДЕРЖАВНАаАКАДЕМIЯаХАРЧОВОЄаТЕХНОЛ;
02470684;"ВАТ ""КИЇВ.ПОЛІГР.Ф-КА ""ЗОРЯ""";
02759373;"НОВ-ВОЛ.ВІД.N2943 ВАТ""ДЕРЖ.ОБ УКРАЇНИ""";
02762211;ОЩАДБАНК №7856 М.ЧЕРВОНОГРАД Інші готі;
02944679;ДОНЕЦЬКА ТОРГОВО-ПРОМИСЛОВА ПАЛАТА;
03191673;УКР.НДI МЕДСОЦ.ПРОБЛ.IНВАЛ.;
03759754;"СЗАО АГРОФИРМА ""КРЫМ""";
05417029;IН-ТаГIДРОБIОЛОГIЄаНАНаУКРАЄНИаааааааа;
05434140;НАУК.ДОСЛ.ЛАБОРАТ.БАЗАЛЬТ.ВОЛОКОНаНАНУ;
05756926;ВАТ ПЕРШОТРАВЕНСЬКИЙ ЗЕТФ;
09334636;РАСЧЕТЫ ЗА ПРИНЯТЫЕ ПЛАТЕЖИ;
13381759;ТОВ `Агрофiрма `Луга-Райз`;
13459220;"ООО ""Промышленная экология""";
13512925;МЕРИДИАН, ЧП;
13661588;"ПП "" БСББ """;
13672801;ФАКТОР;
13880913;М.АС-ЦIЯ ГIДРОТЕХНИКIВ ВОД.ТРАНС;
13971998;ФАГС, ТОВ;
13973789;"ПП НАУКОВО-ВПРОВАДЖУВ ФIРМА ""ВЕСТАР""";
14073681;НВП CIНТАЛ`Д ТОВ;
14311749;"ВАТ ""УХЛ-МАШ""";
14314274;"ВАТ ""Василькiвський з-д холодильникi";
16283425;"ТОВ НВП ""Адіоз""";
16292890;ПВВП НОРМА;
16476319;Тов `УВПК `ЕксОб`;
20429627;ОРIАНА  ФIРМА ТОВ;
20482337;Запорiзьська фiлiя;
20580761;"ВП ""БУДСЕРВIС""";
21552873;"ТОВ Клуб ""Атма-Спорт""";
21578223;ТВБВ Оболонское-1;
21748636;"Сiм""я i дiм. Народна трибуна.";
22472691;"ООО ""УКРТЕХИНВЕСТ""";
23379154;ФОНД СПРИЯН. ЛІКУВАН.ТА РЕАБ. ХВОРИХ З;
23571053;ПНВФ АГРОХIММАШ;
23752688;"АО ""СКБ УКРЕЛЕКТРОМАШ""";
23756522;IН-Т СЦИНТ.МАТЕРIАЛIВ НАНУ;
23881078;"ТОВ НВП ""ДНІПРОЕНЕРГОСТАЛЬ""";
24812748;"ООО ""ТОРНАДО""";
24934061;АТЗТ 'УКР.ЦИФРОВА ТЕЛ.КОМПА;
25258768;ГОСПРОЗРАХ.ВИРОБН.МАЙСТЕРНІ ПРИ ДМТ;
25386816;`МЕБЛЕВI ТЕХНОЛОГII` ВКФ ПП;
25717727;Кредит заборгов за прийн плат в3;
25812584;Кредиторська забор.за прийняті плате;
26248499;"ФІЛІЯ ЗАТ АБ ""ПІВДЕННИЙ"" В М.ІЗМАЇЛІ";
30089575;ВОЛВЕСТ, ТЗОВ;
30524412;КIБЕРСОФТ,ТОВ;
30695930;"ТОВ РА ""ПАРАДIЗ""";
30730220;"ПП ""Інформаційно-Аналітичний Центр""";
31005297;"ЗАО""Пивоварня Эфес Украина""";
31031018;"ТОВ ""ПИВОВАРНЯ КУБОК""";
31241889;БОЛЕАР МЕД;
31303887;Асоцiацiя виробникiв паркету Украєни;
31414492;"ТОВ ""АНАЛІТИК""";
31416056;СОЮЗ ШОУ, ООО;
31694938;ТзОВ НВП`Колійні ремонтні техногії`;
31704186;"ТДВ ""Страхова компанія ""Провіта""";
31747853;"ПП ""АНТЕС ПЛЮС""";
31868976;"ТОВ ""Українська Сервісна Компанія""";
32048331;"ТОВ""МАГІСТРАЛЬ-УКРАЇНА""";
32125693;"ТОВ""Екобіотек-Україна""";
32200047;ЗАВОД ТЕХНОПРИВIД , ЗАТ;
32282769;ТзОВ `НВП `Абсолютний стандарт`;
32455016;"ПII ""Перехiд бiзнес паблiшнг""";
32489752;"ТОВ ""КРАФТ ПРОФIЛЬ""";
32759791;"ЗАТ ""КАМАЗ-УТК""";
32778161;"ТОВ  ""РК""""ВЕЛТОН""";
32850722;ТОВ ГАРАНТ НЕРУХОМІСТЬ;
32971372;"ПП ""Агро-Пiвдень""";
32972046;"ТОВ ""Нац.страховий агент ""ДОВIРА""";
33104538;ВАТ МКБ Київська дирекція;
33128412;"ТОВ""Центр алюм_н_вого буд-ва""";
00027269;АТ УКРІМПЕКС;
00032744;ДЕРЖАВНИЙаДЕПАРТАМЕНТаПРОДОВОЛЬСТВА;
00110792;"ВАТ ""Полтавський турбомеханічний з-д""";
00130234;ЗАПОРIЖГIДРОСТАЛЬ, ВАТ СПКТБ;
00153117;ЧОРНОМОРНАФТОГАЗ  ДАТ;
00278787;"ВАТ ""КИЇВ.Ф-КА ТЕХПАПЕРІВ""";
00308637;"Хмiльницька швейна ф-ка ""Лiлея"" м.Хмiл";
00372368;"ВАТ ""ЦУКРОВИЙ ЗАВОД"" ІМ.ЦЮРУПИ";
00373758;ВАТ Вiнницький олiйножировий комбiнат;
00479712;ВАТ БІОЛІК;
01526767;"сан""Карпатськi зорi""";
02011901;IН-Т ФАРМАК.ТА ТОКСИК.АМНУ;
02012022;IН-Т ПЕДIАТ.АКУШ.I ГIН.АМНУ;
02125243;Запорiзький державний унiверситет;
02650601;ЗАО Санаторий Утес;
02759381;Овруцьке ВОБ  N2946;
02969604;ЗАО АВДЕЕВСКАЯ Ф-КА =АГАТ=;
03534512;Iнститут Iмпульсних Процесiв Техн НАНУ;
04012655;ВАТ Трест`Киiвмiськбуд-1`iм.М.П.Загоро;
04594673;"ЗАТ Ф_рма ""Акац_я""";
05388032;"ЧОДО""Черн?г?вспиртгор?лка""";
05393122;ДНЕПРОПЕТРОВСКИЙ ТРУБНЫЙ ЗАВОД А;
05409679;"ОАО ""Николаевский глиноземный завод""";
05507442;ВАТ `ХЕРСОНСЬКИЙ МАСЛОЗАВОД`;
05518954;Косарський спиртовий завод;
05755571;ОАО ЗАВОД ПРЕОБРАЗОВАТЕЛЬ;
09311397;"Ф-Я""ВІД.ПІБ В М.КОРОСТЕНЬ ЖИТОМИР.ОБЛ""";
09324419;"ФІЛІЯ ""ВІД.ПІБ В М.КРАСНОПЕРЕКОП. АРК""";
09331141;"Фiлiя""Вiд.ПIБ Кремен.Полт.обл.""";
13509722;"ООО ""КАРИНА""";
13668432;"ПП УНВКП ""АТІКА""";
13799855;"ТЗОВ СП ""НОТ""";
13807402;"Науково-виробничий центр ""АМС""";
14068504;ТОВ НВФ .Iзотерм.;
14308428;"ВАТ ЛЗ ""PЕМА""";
14311057;ОАО Севастоп.предпр.ЭРА;
14327791;дп междунар христианский ун;
16503097;"ОАО ""Севастоп. рыбоконсервн. завод""";
19437604;ТЕРОС ООО СКБ;
20114303;ТОВ ФІРМА ІНТЕРФЕЙС;
20136405;"П-во ""ОЛДЕМ""";
20270992;КРИВБАСАКАДЕМИНВЕСТ ЧП;
20506799;ПМП фiрма ` Ольга-Русь`;
20630973;"ФВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКРАЇНИ"",КІРОВ.";
21082031;"ТзОВ""Вишиванка""";
21319556;"Підприємство ""Левада"" ЛТД";
21459234;"КНВФ""ЕЛНА""";
21471554;"ТОВ ""ТЕХНІК""";
21474707;"ТОВ""ТЕКСТИЛЬ-ЛЮКС""";
21705733;"ПОДIЛЬСЬКА Ф. ВАТ КБ ""ХРЕЩАТИК"" м.Киiв";
21708654;"ВГО""УКР.АСОЦ.МАРКЕТИНГУ""";
22861903;Приватне пiдприімство фiрма`Шанс;
22941513;"ТОВ З IHОЗ.IHВ.""ВIМАС ТЕКHОЛОДЖIС""";
23058930;"ТОВ ""Ремцентр""";
23521196;"ТОВ ""НВП ""ФОТОН""";
23790022;"ПП НВКФ ""ЕКОТЕХ""";
24590176;"НПМП ПО ВІ У Ф-ВО ""ВІФ""";
24615887;СКАЙЛАЙН ООО;
24739968;ПІРАНТ ТОВ;
24849154;"ФІЛІЯ АБ ""ЕНЕРГОБАНК"" В М.ЛУГАНСЬКУ";
24863958;Крымский институт агропром. пр-ва УААН;
25383893;ТОВ ВЕГА-СЕРВІС 2000;
25592898;"ТОВ З ІНОЗЕМНОЮ ІНВЕСТИЦІЄЮ ""ПАЛС ЛТД""";
25884589;"ГРОМАДСЬКА ОРГАНIЗАЦIЯ ""УМА""";
25957207;Кред.заборг.за прийн.платежi;
26011998;"КП""Тростянецьке районне радiомовлення""";
30482268;ООО ЗАВОД АО ДОНМЕТ;
30584817;ТОВ `ЛІСТ`поточний мульт. рахун;
31001486;"ТОВ ""АРІОН""";
31020582;"ТОВ ""ТД Олександрія-хліб""";
31086313;"ТОВ ""ЕДОР ТУР туризм та подорожі""";
31200072;"ДП ""Міжнар.Консалт.компанія - Оцінка""";
31408447;ПП КЛIHIКА ЕФЕРЕHТHОЇ ТЕРАПIЇ;
31778394;АТР,ТОВ [26000480503001];
31928200;"ТОВ ""Агропромисловий комплекс Прогре";
32035343;"ТОВ""ТД""Зах?дна молочна група""";
32183179;"ООО ""Эколас Украина""";
32295013;"ТОВ ""ПЛАТОС""";
32320620;"КП ""Первомайська радiокомпанiя""";
32409127;ТзОВ `Галицька здоба`;
32576682;ООО КОМПЬЮТЕРНЫЕ ТЕХНОЛОГИИ;
32645848;"ЧП ""БАТТЕРФЛЯЙ ИМПЭКС""";
32698053;"ТОВ ""ДЗ БУРОВОГО ОБЛАДНАННЯ""";
32709431;"ТОВ""Оптова компанія""Дари океанів""";
32840798;ЛIСОВИЙ ДАР, ТЗОВ;
32850570;САБУ;
32963534;"ТОВ ТРК ""СОНАТА""";
00190791;РЕГОМ ВАТ;
00193714;ДОН ИН-Т ДОННИИЧЕРМЕТ;
00203826;АЗОТ В1дкрите акц1онерне товариство;
00216852;"ВАТ СКТБЗЕ ""ПОТЕНЦIАЛ""";
00227258;"ЗАТ ""ХАРКIВСЬКИЙ ЮВЕЛIРНИЙ ЗАВОД""";
00274619;ДНЕПРОПЕТРОВСКИЙ МЕБЕЛЬН, КОМБИНАТ;
00293522;"ЗАТ ""Славутський склозавод"".";
00308040;"ОАО ОБУВНАЯ Ф-КА ""СВИТОЧ""";
00309111;"КЗАТ Фiрма ""Арсанiя""";
00309387;"АТЗТ ""Козак""";
00374611;"АТ Одеський завод ""Гамбринус""";
00374999;"ДП ""МЕЖИРIЦЬКИЙ ВIТАМIННИЙ ЗАВОД""";
00415072;"ГПКТИ ""ПЛОДМАШПРОЕКТ""";
00415451;Iн-т зрошув. садiвн.iм.М.Ф.Сидоренка;
00496745;Iнститут механiзацiє тваринництва;
00729327;Луганский институт агропромпроизв-ва;
00994070;Степовой ф-л Укр.НИИЛХА;
01200014;"Закр акц.общ.""Пневмовзрыв""";
01432003;ДВ УКРДГРI;
01897908;IНСТИТУТаГЕРОНТОЛОГIЄаАМНУаааааааааааа;
02012154;IН-Т ЗАГ.ТА НЕВ.ХIРУРГ.АМНУ;
02070973;СЕВАСТ.НАЦ.ТЕХН.УНIВЕРСИТЕТааааааааааа;
02071085;ОДЕС.ДЕРЖ.АКАД.ХОЛОДУ;
02736484;Житомирський ЦНТЕІ;
02758675;ЖОВТНЕВЕ ВОБ 7714;
02786453;СЄВЄРОДОНЕЦЬКИЙ ОЩАДБАНК;
03361709;"ТВО ""Харківкомунпромвод""";
04600665;ЗАТ УКРСПЕЦАВТОМАТИКА;
05390419;ЧЕРКАСЬКИЙ АВТОБУС, ВАТ;
05823976;Деснянське вiддiлення N 8451 ОБ;
09302576;КРЕДИТ ЗАБ ЗА ПРИЙНЯТІ ПЛАТЕЖІ;
09322030;"Залізнична філія   АКБ ""Укрсоцбанк""";
09324075;Транзитный счет отдела коммунальных пл;
09334487;Краматорськ УСБ Донецької;
13463718;КОЛО зат зтнв фiр(зов,торг,наук,вир;
13523509;"ЗАО ""НПП""ТЕСТ""";
13640801;МАЛА АКАДЕМIЯ РЕМЕСЕЛ,ПП;
13658115;"ПП ФIPМА ""ТЕХКОН""";
13816938;ТОРГОВО-ПРОМИСЛОВА КОМПАНIЯ, Т;
14308262;Харківський завод електроапаратури;
14361575;Заборг. по платежам вiд кл (вiд.10);
19081403;"ТОВ НВП  ""МІКРОТЕРМ""";
19246844;КИЇВСЬКИЙ З-Д СОЛОДОВИХ ЕКСТРАКТІВ ТОВ;
19255777;"ЗАТ ""Астра Люкс""";
19326603;УНІВЕРСУМ ТЗОВ;
19380560;ГЕРМЕС, АГРОФИРМА ООО;
20024178;"ТзОВ""Тел-Сат"".";
20044726;"ЗАТ ""ММЦ-СТБ""";
20551512;"Дpуге міське відділення КФ АППБ""Аваль""";
21631874;"АТЗТ""Магiстраль""";
22460630;ТОВ ОЛМА;
22620387;ТОВ Інстітут будівництва;
22866711;"ЗАТ "" Унікод Олавтекс + """;
23285695;АРТ-ПРЕСС,ТОВ;
23505257;НВФ ТОВ `Турбокавiтацiйнi технол;
23728655;Прием платежей от населения;
23976347;СТРИЙСЬК. ХЛIБОКОМБIН., ВАТ;
24342416;АОЗТ АББ МОHОЛИТ;
24607712;РОЗРАХ.ЗА ПЛАТ.ВIД НАС.СБОН;
24844406;N 5450-СВЕРДЛОВСЬКЕ ВІД. ОБ ЛУГАНСЬКОЇ;
24846227;"ДП""ЛУГ.ХЛАДОКОМБ.""ВАТ""ЛУГАНСЬКХОЛОД""";
24868625;"ООО ""ТЕЛЕРАДИОКОМПАНИЯ ""НЕАПОЛЬ""";
24905384;"КП ""Муніципальна телевізійна меpежа""";
25115499;ЭТАЛОН, НПП ООО;
25412078;"ДП ""КМ Iнвестицiї Україна""";
25959123;Кр/заб. за прийнят? платеж?;
26149544;Кт заборгованiсть за прийнятi платежi;
26479833;Інша забор.за прийн.платежі;
30556266;ОАО АВТОМАТГОРМАШ ИМ. В.А.АНТИПОВА;
30771251;"ПП ""Рюрик""";
30859739;"ТОВ ""ПРОФIТ ГРУП""";
30881586;ТОВ Інститут озонотерапіі і медобладна;
30931579;"ПП ""IБIС-К""";
31167690;"ЗАТ ""ПРАГА АВТО""";
31540042;СІАЛ ДЖЕТ УКРАІНА ТОВ ВКП;
31597869;"ЗАТ ""ЧЛГЗ"" Чернiгiвська горiлка""";
31627919;"ГО ПІДПРИЄМСТВО ""РАДА""";
31672893;"ТОВ ""ПРОТОН-21""";
31739664;"ТОВ ""Iнтернафта""";
31760000;"ЗАТ ""УКРСКЛОПРОМ""";
31793784;"ТОВ""ЦЕНТР МАРК.ДОСЛ.У БУД.СОЗИДАТЕЛЬ""";
31918700;"ТОВ ""ЕЛЕКТРОНМАШ-ТЕРМО""";
32019536;"ООО ""Общественный диалог""";
32073750;"ПП РА ""АЛИСА КОНСАЛТ""";
32155597;`ДІНАТ-ПРІМ`Приватне Підприємство;
32278768;"ТОВ ""НБЦ ""Ензифарм"" м.Ладижин";
32290235;"ООО"" Информационный центр телерадиовещ";
32311731;"ТОВ ""ЕколАН""";
32316216;ООО ЮЖНАЯ МАНУФАКТУРА ПРОЛИВ;
32874020;"ЗАТ ""Калуський машинобудівний завод""";
32957190;ТОВ ` Пальмiра Промiнвест`;
33203379;"ТОВ ""СОФАР-ПЛЮС""";
00204470;АКЦИОНЕРНОЕ ОБЩЕСТВО НИФАР;
00222216;МЕЛIТ.ВЕРСТАТОБУДIВНИЙ ЗАВОД, ВАТ;
00306845;"ЗАТ""Ф-КА ТЕХН.ТКАНИН ""ТЕХHОФІЛЬТР""";
00377710;ОАО ПИВЗАВОД ИВАНОВСКИЙ;
00378038;ВАТ ЗАП.ХЛІБОЗАВОД 3;
00378112;ОАО Донецкий хлебокомбинат;
00378595;"ВАТ ""ЖИТОМИРХЛIБ""";
00443967;"ЗАТ ""Гадяцький м.ясокомбiнат""";
00445883;"ТОВ фiрма ""Кагма""";
00493758;ХАРКIВСЬКА ДЕРЖ.ЗООВЕТ.АКАДЕМIЯ;
01181765;"ДП ""УДЦР Центр ""Укрчастотнагляд""";
03534570;IН-Т ПРОБЛЕМ МАШИНОБУДУВАННЯ НАНУ;
03771755;IНСТИТУТ ПР.РЕГIСТРАЦIЄ IНФОРМАЦIЄ НАН;
04654394;"ВАТ ""Охтирський сиркомбiнат""";
04803492;УКРНДIаСОЦ.IаСУД.ПСИХ.НАРК.ааааааааааа;
05502611;"АТ ВТФ ""Еліта""";
05507034;ЗАТ `Луганський м`ясокомбінат;
09304304;ФЛЦВ ПІБ Кред.заборг.за прийн.платежі;
09322099;Печерська філія м.Києва АКБ 'Укрсоцбан;
09334270;КРЕДИТОРСК ЗАДОЛЖ ПО ПРИНЯТЫМ ПЛАТЕЖАМ;
09352019;"Херсонська фiлiя  АКБ ""Укрсоцбанк""";
09807856;"Банк ""Фiнанси та кредит"", ТОВ";
13328191;"ТОВ МНВЦ  ""Бiосан""";
13414536;Р-КОМПАНИ,ООО;
13701550;ТОО ИHОВАЦ.-КОМЕРЧ.ФИРМА БЭИМ;
14100521;"ООО НПФ ""ОЛТРОН""";
14142821;"ТОВ ""Компания смазочных материал.""СИОЛ";
14288111;"СТРАХОВЕ АКЦІОНЕРНЕ ТОВАРИСТВО"" ОСТРА""";
16292424;"ВЦ ""Джерело-Автоматика""";
20784660;КРЕД ЗАБОРГ ПО ПЛАТЕЖ ВIД  НАС;
21029367;"СП ""ТОРГОВИЙ ДIМ ""KVINT"" на УКРАЇНI""";
21107661;"ТОВ ""Телерадіокомпанія ""Відікон""""";
21213438;"ТОВ фiрма ""АРКО""";
21295755;"ХЕРСОНСЬКА Ф-Я АКБ ""ПРЕМ'ЇРБАНК""";
21595828;РОСТОК БАНК-готівкові платежі/Р-А/;
21632715;"ДП ""Укренергоефективнiсть""";
21656124;ЧОРНОБИЛЬСЬКИЙ ЦЕНТР;
21948217;"ООО ""КОМИНФО""";
22917414;ДЕ ВІЗУ;
22926815;"ПІІ ""Тебодін Україна""";
23023147;Сичеслав 95 ООО;
23063641;"Винницкий филиал АКБ""Правэкс-Банк""";
23493577;"Святошинська фiлiя АТ ""Укрiнбанк""";
23504306;ТОВ А.ПРИГОФ ТА ПАРТНЕРИ;
23699557;РАСЧ.ПО ПРИНЯТЫМ ПЛАТ.ОТ НАС.;
23712217;ЗАТ `Компанiя Iнтерлогос`;
23833629;"ПТРВП ""Авторемсервіс ""Адвіс-Ріно-Авто""";
23844054;ТОВ ДП Контакт-Славута.;
24171048;"МУ РЕГІ ІМ АК ДЕМ""ЯНЧУКА";
24309328;"ООО ""ЛІДЕР-ДОН""";
24507005;КРЫМФАРМА, ПРЕДПРИЯТИЕ;
24572758;ООО Украинская Компьютерная Лаборатор.;
24830380;Кред.заборг. за прочими платежами;
24923471;"ЗАТ ""ЗАВОД РЕКЛАМИ""";
24958707;ТВ-ПЛЮС ТОВ;
25727884;"ЧФ ""МІЖНАРОДНИЙ КОМЕРЦІЙНИЙ БАНК""";
26250800;"ФАКБ ""РАЙФФАЙЗЕНБАНК УКРАЇНА""В М.ЗАПОР";
26489056;"ФяНДПІАСУтрансгаз ДП ""Науканафтогаз """;
30207103;ТАЛЕР,МПП;
30211649;ТОВ КОРУHД ПЛЮС;
30304350;"Д П З ІНОЗ ІНВЕСТ ""ТЕХНОНІКОЛЬ""";
30618279;"СП ""Європласт""";
30753410;"ТОВ ""ШТАНЦ-ТЕХНОЛОГIЯ""";
31073990;"ТзОВ ТПК ""НАК""";
31101472;УКРТЕПЛОСЕРВИС,ТОВ;
31165756;ПIДЗЕММЕТАЛОЗАХИСТТОВ НВУ АIНУ;
31245291;"ТОВ ""ВIЗАНТIЯ 1""";
31376067;"ООО ""СТРОЙИНВЕСТСЕРВИС""";
31380846;"ЗАТ""Лисичанський склозавод""Пролетарiй""";
31943721;"ТОВ ТPК ""Жовта річка""";
31954183;"ТОВ ""Хантер М'юзiк Юкрейн""";
32073970;АСОЦІАЦІЯ КОНСАЛТИНГОВИХ ФІРМ;
32122069;ЗАКРИТЕ АКЦ1ОНЕРНЕ ТОВАРИСТВО ЖИТОМИРС;
32156915;"ТОВ ""ЦЕНТР КОНФЛIКТОЛОГIЄ I ПРАВА""";
32424276;САН ПЛАЗЗА тов;
32472712;"ТзОВ  ""ЛК Iнтерплит Надвiрна""";
32659915;"ТОВ ""Медичний центр ""Крапля роси""";
32783269;"ЗАТ ""IССРЗ""";
32864871;ЧП `Регион-Медиа`;
32983676;"ТОВ ""АН ""Хрещатик Реал Істейт""";
33019249;Абсолютист ТОВ;
33206804;"КП""ВТП""Вода""";
00127522;`МIЖРЕГIОНАЛЬНА АКАДЕМIЯ УПРАВЛIННЯ ПЕ;
00174094;ОАО НИИ ГМ ИМ.М.М. ФЕДОРОВА;
00188357;институт Гипpосталь;
00191906;"ОАО ""БАЛАКЛАВСКОЕ РУ""";
00216450;УКР НАУЧ ИССЛ ИНСТ ГЛЕКТРОВОЗОСТР;
00217099;ВАТ УНД іНСТИТУТ КАБ ПРОМИС;
00334882;УКР НАУК-ДОСЛ IНСТIТУТ ОЛIЙ ТА ЖИРIВ;
00389127;IНСТИТУТ ПIСЛЯДИПЛОМНОЄ ОСВIТИ НУХТ;
00489780;IН-Т ЦУКРОВИХ БУРЯКIВ;
00497360;Iнститут с/г мiкробiологiє;
02070693;ВIННИЦ.ДЕРЖ.ТЕХН-ЙаУНIВ-Т;
02070921;"НТУаУКР.""КИЄВС.ПОЛIТ.IНС-Т""ааааааааааа";
