MFO;SNAME;NAME;IKOD;ADRESS;TELEFON
300001;"""НАЦІОНАЛЬНИЙ БАНК""";ОПЕРАЦІЙНЕ УПРАВЛІННЯ НБУ, М.КИЇВ;00032106;м.Київ вул. Інститутська, 9;293-01-80 293-16-98
300012;"ПАТ ""Промінвестбанк""";"ПАТ ""Промінвестбанк""";00039002;м.Київ провулок Шевченка, 12;
300023;"ПАТ ""УКРСОЦБАНК""";"ПАТ ""УКРСОЦБАНК""";00039019;м.Київ вул. Ковпака, 29;
300056;"ПАТ ""Легбанк""";"ПАТ ""Легбанк""";14291780;м.Київ вул. Жилянська, 27;2204464
300119;"ПАТ ""Банк Альянс""";"ПАТ ""Банк Альянс""";14360506;м.Київ проспект Московський, буд.8, корпус 16-А;4124285
300120;"""БАНК ПЕТРОКОММЕРЦ-УКРАЇНА""";"""БАНК ПЕТРОКОММЕРЦ-УКРАЇНА""";22906155;м.Київ вулиця Велика Житомирська, 20;
300131;"АТ""Банк""Фінанси та Кредит""";"АТ""Банк""Фінанси та Кредит""";09807856;м.Київ вул. АртемаВ 60;490-68-70
300142;"ПАТ ""УКРІНБАНК""";"ПАТ ""УКРІНБАНК""";05839888;м.Київ вул. Смирнова-Ласточкіна, буд.10-А;2207567,2207740
300164;"АТ ""Сведбанк"" (публічне)";"АТ ""Сведбанк"" (публічне)";19356840;м.Київ вул. Новокостянтинівська, буд.18 (ЛІТЕРА В);
300175;"ПУАТ ""ФІДОБАНК""";"ПУАТ ""ФІДОБАНК""";14351016;м.Київ вул. Червоноармійська,10;
300205;"ПАТ ""УПБ""";"ПАТ ""УПБ""";19019775;м.Київ вул. М.Раскової, 15;
300216;"ПАТ КБ ""ІНТЕРБАНК""";"ПАТ КБ ""ІНТЕРБАНК""";14358604;м.Київ вул. Вадима Гетьмана, буд.27;
300238;"ФАТ""БАНК ЗОЛОТІ ВОРОТА""КИЇВ";"ФІЛ. АТ  ""БАНК ЗОЛОТІ ВОРОТА"" В М.КИЇВ";25960155;м.Київ проспект Перемоги, 21А;2070480
300249;"АТ ""БРОКБІЗНЕСБАНК""";"АТ ""БРОКБІЗНЕСБАНК""";19357489;м.Київ проспект Перемоги, будинок 41;
300250;"Київська ФПАТ""Укрінбанк""";"КИЇВСЬКА ФПАТ""УКРІНБАНК"" М.КИЇВ";20064350;м.Київ вул. Тимошенка, 18;464-96-58
300272;"ПАТ ""ЕНЕРГОБАНК""";"ПАТ ""ЕНЕРГОБАНК""";19357762;м.Київ вул. Воздвиженська, 56;
300302;Центральне сховище НБУ;ЦЕНТРАЛЬНЕ СХОВИЩЕ НБУ;20077447;м.Київ вул. Пухівська, 7а;5309006
300335;"АТ ""Райффайзен Банк Аваль""";"АТ ""Райффайзен Банк Аваль""";14305909;м.Київ вулиця Лєскова, буд. 9;
300346;"ПАТ ""АЛЬФА-БАНК""";"ПАТ ""АЛЬФА-БАНК"" У М.КИЄВІ";23494714;м.Київ вулиця Десятинна, 4/6;4904627
300379;"ПАТ ""КІБ Креді Агріколь""";"ПАТ ""КІБ Креді Агріколь""";19357443;м.Київ вул. Володимирська, 23а;4901400
300380;ЦЕНТРАЛЬНА РП ПІБ, М.КИЇВ;ЦЕНТРАЛЬНА РП  ПІБ, М.КИЇВ;00039002;м.Київ вул.Малопідвальна, 8;2793563
300421;"""ВІДРОДЖЕННЯ""";"УКРАЇНСЬКИЙ  КБ ""ВІДРОДЖЕННЯ"" М.КИЇВ";21509662;м.Київ вул. Коцюбинського, 7-а;`Л`-30.07.1996
300465;"АТ ""ОЩАДБАНК""";"АТ ""ОЩАДБАНК""";00032129;м.Київ вул. Госпітальна,12г;044/ 265-31-50
300498;Банк Національні інвестиції;Банк Національні інвестиції;20017340;м.Київ вул. Володимирська, 54;
300506;"""Перший Інвестиційний Банк""";"ПАТ ""Перший Інвестиційний Банк""";26410155;м.Київ Московський проспект,6;
300528;"АТ ""ОТП Банк""";"АТ ""ОТП Банк""";21685166;м.Київ вул. Жилянська, 43;
300539;"ПАТ ""ІНГ Банк Україна""";"ПАТ ""ІНГ Банк Україна""";21684818;м.Київ вул. Спаська, 30-А;
300584;"ПАТ ""Сітібанк""";"ПАТ ""Сітібанк""";21685485;м.Київ вул. Димитрова, 16 -Г;
300614;"ПАТ ""КРЕДІ АГРІКОЛЬ БАНК""";"ПАТ ""КРЕДІ АГРІКОЛЬ БАНК""";14361575;м.Київ вул. Пушкінська, 42/4;
300647;"АБ ""КЛІРИНГОВИЙ ДІМ""";"АБ ""КЛІРИНГОВИЙ ДІМ""";21665382;м.Київ вул.Борисоглібська, буд.5,  літера А.;
300658;"АТ ""ПІРЕУС БАНК МКБ""";"АТ ""ПІРЕУС БАНК МКБ""";20034231;м.Київ вул. Іллінська, 8;2382991
300669;"ПАТ ""ПРАЙМ-БАНК""";"ПАТ ""ПРАЙМ-БАНК""";26051650;м.Київ вул.Михайлівська, 6-а (поштова адреса);
300670;"ПАТ ""КБ ""ХРЕЩАТИК""";"ПАТ ""КБ ""ХРЕЩАТИК""";19364259;м.Київ вул. Хрещатик 8-а;
300711;"ПЕЧЕРСЬКАФ.ПАТКБ""ПРИВАТБАНК";"ПЕЧЕРСЬКА Ф.ПАТ КБ""ПРИВАТБАНК"", М.КИЇВ";14360570;"м.Київ вул. Предславинська, 19; 49094, м. Дніпропетровськ";494-32-42, (092)305-
300744;"Ф.""УніКредит Банк"", м.Київ";"Філія ПАТ ""УніКредит Банк"" у м.Києві";36541276;м.Київ проспект Героїв Сталінграда, 24;585-89-85
300755;"Ф.АТ БАНКУ""МЕРКУРІЙ""в Києві";"ФІЛІЯ АТ БАНКУ ""МЕРКУРІЙ"" В М. КИЄВІ";26112831;м.Київ вул. Щекавицька, 7/10 літера А;462-59-64
300766;"філія АТ""ІМЕКСБАНК""ум.Києві";"філія АТ ""ІМЕКСБАНК"" у м. Києві";21705124;м.Київ вул. Леоніда Первомайського, 4;5854715
300788;"АТ ""БАНК ""ТАВРИКА""";"АТ ""БАНК ""ТАВРИКА""";19454139;м.Київ вул. Дмитрівська, 92-94;
300852;"ПАТ ""КБ ""АКТИВ - БАНК""";"ПАТ ""КБ ""АКТИВ - БАНК""";26253000;м.Київ вулиця Борисоглібська, 3;
300863;"ПАТ ""КРЕДИТПРОМБАНК""";"ПАТ ""КРЕДИТПРОМБАНК""";21666051;м.Київ бульвар Дружби народів, 38;2682533
300885;"АТ ""АРТЕМ-БАНК""";"АТ ""АРТЕМ-БАНК""";26253023;м.Київ вул.Артема, буд.103;2167093
300896;"АТ ""ТММ-Банк""";"АТ ""ТММ-Банк""";19193869;м.Київ вул.Панельна,5;
300904;"АТ ""Фортуна-банк""";"АТ ""Фортуна-банк""";26254732;м.Київ вул.Боричів Тік,35-В;
300926;"ПрАТ ""УФГ""";"ПрАТ ""УФГ"", КИЇВ";14285934;м.Київ вул.Саксаганського, 77;
300937;"Ф ""ЦРУ"" АТ""Б"" ФІН ТА КРЕД""";"Ф""ЦРУ"" АТ""Б""ФІНАНСИ ТА КРЕДИТ""М.КИЇВ";25745867;м.Київ вул. Щорса, 31;529-75-26
302076;ФВінницьке обласне уАТОщад;ФВІННИЦЬКЕ ОБЛАСНЕ У АТОЩАД М.ВІННИЦЯ;09302607;м.Вінниця вул. Соборна, 71;71020
302247;"ВінницькаОДАТ""Райф.Б.Аваль""";"ВОД АТ""РАЙФФАЙЗЕН БАНК АВАЛЬ""М.ВІННИЦЯ";20097421;м.Вінниця вул. 50-річчя Перемоги, 35;520319
302333;"Вінницька ФПАТ""Укрінбанк""";"ВІННИЦЬКА ФПАТ""УКРІНБАНК"" М.ВІННИЦЯ";20098366;м.Вінниця вул. Пирогова, 7;520502
302429;Ф-я Укрексімбанк, Вінниця;Ф-Я АТ УКРЕКСІМБАНК, М.ВІННИЦЯ;24896705;м.Вінниця вул. Козицького, 51, корп. 1;55-04-55
302504;Упр. НБУ у Вінницькій обл.;УПРАВЛІННЯ НБУ У ВІННИЦЬКІЙ ОБЛАСТІ;09302501;м.Вінниця вул. Соборна, 36;
302548;"Перша ФПрАТ ""УФГ"",м.Вінниця";"Перша філія ПрАТ ""УФГ"" у м.Вінниця";26285388;м.Вінниця вул. Пирогова, 49;0432
302560;"Жмеринс. філ.АБ ""Експр-Банк";"ЖМЕРИНС. ФІЛ. АБ ""ЕКСПР-Б"", М.ЖМЕРИНКА";26339026;м.Жмеринка вул. Київська, 17;4 47 46
302593;"ФАТ ""УФГ"", м.Вінниця";"ФІЛІЯ АТ ""УФГ"", М.ВІННИЦЯ";2287440;м.Вінниця Хмельницьке шосе, 7;
302623;"Вінн.ФПАТ ""Кредитпромбанк""";"ФІЛІЯ ПАТ ""КРЕДИТПРОМБАНК"", М.ВІННИЦЯ";24898477;м.Вінниця вул. Івана Богуна, 2;52-03-21
302689;ВІННИЦЬКА Ф.ПАТКБПРИВАТБАНК;ВІННИЦЬКА Ф.ПАТ КБПРИВАТБАНК,М.ВІННИЦЯ;21724222;"м.Вінниця 21030,м.Вінниця,пр.Юності,43А;21036,вул.Хмельн.шос";52-00-26
303020;Упр. НБУ у Волинській обл.;УПРАВЛІННЯ НБУ У ВОЛИНСЬКІЙ ОБЛАСТІ;09303021;м.Луцьк вул. Градний узвіз, 4;8-03322-23505
303398;ФВолинське обласне уАТОщад;ФВОЛИНСЬКЕ ОБЛАСНЕ УПР АТОЩАД М.ЛУЦЬК;09303328;м.Луцьк вул. Червоного Хреста, 8;776160
303440;"ВОЛ.ГРУ ПАТ КБ ""ПРИВАТБАНК""";"ВОЛИНС.ГРУ ПАТ КБ ""ПРИВАТБАНК"",М.ЛУЦЬК";13369965;м.Луцьк пр. Відродження, 1, 49094, м. Дніпропетровськ, вул;77-77-01, (092)312-0
303484;"ПАТ ""Західінкомбанк""";"ПАТ ""Західінкомбанк""";19233095;м.Луцьк пр. Перемоги, 15;8-03322-780203
303536;"ПАТ ""УніКредит Банк""";"ПАТ ""УніКредит Банк""";21753123;м.Київ вул. Ярославів Вал, буд. 14а;8-03322-776230
303547;Ф-я Укрексімбанк, Луцьк;"Ф-Я АТ ""УКРЕКСІМБАНК"",ЛУЦЬК";26196437;м.Луцьк вул. Богдана Хмельницького, 5;77-78-50
303569;"ВолинськаОДАТ""Райф.Б.Аваль""";"ВОД АТ""РАЙФФАЙЗЕН БАНК АВАЛЬ""М.ЛУЦЬК";20128765;м.Луцьк вул. Винниченка, 26.;8-03322-777401
303611;"Волинська регіон. ФАТ ""УФГ""";"ВОЛ.РЕГ.Ф АТ ""УФГ"", М.ЛУЦЬК";25945049;м.Луцьк пр-т Відродження, 12;
303718;"Волинська філія ПрАТ ""УФГ""";"Волинська філія ПрАТ ""УФГ""";36351736;м.Луцьк вул. Шопена, буд. 22;-
303741;"Вол.ФПАТ""Кредитпромбанк""";"ФІЛІЯ ПАТ ""КРЕДИТПРОМБАНК"",М.ЛУЦЬК";33597918;м.Луцьк вул. І.Франка, 52;77-84-50
304007;"ЛуганськаОДАТ""Райф.Б.Аваль""";"ЛОДАТ""РАЙФФАЙЗЕН БАНК АВАЛЬ""М.ЛУГАНСЬК";24197094;м.Луганськ вул. Радянська, 61;531535
304030;Упр. НБУ в Луганській обл.;УПРАВЛІННЯ НБУ В ЛУГАНСЬКІЙ ОБЛАСТІ;09304032;м.Луганськ вул. Радянська, 83;
304289;Ф-я Укрексімбанк, Луганськ;"Ф-Я АТ ""УКРЕКСІМБАНК"",ЛУГАНСЬК";21794398;м.Луганськ вул. Оборонна, 4л;35-18-50
304524;"Лисич.філія ПАТ ""РЕАЛ БАНК""";"ЛИСИЧАНСЬКА ФІЛІЯ ПАТ""РЕАЛ БАНК""";24181638;м.Лисичанськ вул. Ворошилова, 3;4-71-18
304610;"АЛЧЕВ ФІЛІЯ АТ ""МІСТО БАНК""";"АЛЧЕВСЬКА ФІЛІЯ АТ ""МІСТО БАНК""";26349906;м.Алчевськ вул. Горького, 49;5 23 33
304665;ФЛуганське обласне уАТОщад;ФЛУГАНСЬКЕ ОБЛАСНЕ  АТОЩАД М.ЛУГАНСЬК;09304612;м.Луганськ вул. Шевченко, 1;344604
304706;"АТ ""СП БАНК""";"АТ ""СП БАНК""";23478833;м.Луганськ вул. 26 Бакінскіх Комісаров,155;590761
304717;"ЛуганськаФ АТ""Б""Фін та Кр""";"ЛУГАНСЬКА Ф АТ""Б"" ФІН ТА КР""М.ЛУГАНС";24854712;м.Луганськ вул. Оборонна, 7а;58-90-73
304795;"ЛУГАН.Ф-Я ПАТ КБ""ПРИВАТБАНК";"ЛУГАН.Ф-Я ПАТ КБ""ПРИВАТБАНК""М.ЛУГАНСЬК";14360570;м.Луганськ вул. Челюскінців, 14, 49094, м. Дніпропетровськ, в;50-13-22
304836;"Луганська ФПАТ""Укрінбанк""";"ЛУГАНСЬКА ФПАТ""УКРІНБАНК"" М.ЛУГАНСЬК";24046722;м.Луганськ вул. Жовтнева, 3;52-31-64
304881;"Луган.філіяПАТ""АКБ""КАПІТАЛ""";"Луганська Філія ПАТ ""АКБ ""КАПІТАЛ""";24847379;м.Луганськ кв. Дімітрова, 23-а;50-50-09
304988;"ПАТ ""УКРКОМУНБАНК""";"ПАТ ""УКРКОМУНБАНК""";24191588;м.Луганськ вул. Шевченка В.В., буд.18А;Приймальня т.553577
304999;"ФАБ""Південний""в м.Луганську";"ФАБ ""ПІВДЕННИЙ"" В М.ЛУГАНСЬКУ";33217816;м.Луганськ вул. Шевченка, 29;341621
305006;Упр. НБУ в Дніпропетр.обл.;УПРАВЛІННЯ НБУ В ДНІПРОПЕТРОВСЬКІЙ ОБЛ;09305008;м.ДНІПРОПЕТРОВСЬК ВУЛ. ЛЕНІНА, 13;
305062;"АКБ ""НОВИЙ""";"АКБ ""НОВИЙ""";19361982;м.Дніпропетровськ пр.К.Маркса, 93;
305266;"ФДн.РУПАТКБ ""Південкомбанк""";"Ф.""ДН.РУПАТКБ""ПІВДЕНКОМБАНК"", М.ДН-СЬК";24821457;м.Діпропетровськ вул.Миронова, буд.20-а;317788
305299;"ПАТ КБ ""ПРИВАТБАНК""";"ПАТ КБ ""ПРИВАТБАНК""";14360570;м.Дніпропетровськ вул.Набережна Перемоги, 50;390437,390511
305437;Ф.ПАТ ПІБ м.Дніпропетровськ;ФІЛІЯ ПАТ ПІБ М.ДНІПРОПЕТРОВСЬК;09305439;м.Дніпропетровськ вул. Леніна, 17;744-88-73
305482;ФДніпропетровське обАТОщад;ФДНІПРОПЕТРОВСЬКЕ О АТОЩАД М.ДНІПРОПЕ;09305480;м.Дніпропетровськ вул. Клари Цеткін, 9-а;356886
305589;Ф-я Укрексімбанк,Кривий Ріг;"Ф-Я АТ ""УКРЕКСІМБАНК"", КРИВИЙ РІГ";19362131;м.Кривий Ріг пр.К.Маркса, 37;902201
305653;"Дніпр-ськаОДАТ""Райф.Б.Аваль";"ДОДАТ""РАЙФФАЙЗЕНБАНКАВАЛЬ""М.ДНІПР-СЬК";19358201;м.ДНІПРОПЕТРОВСЬК ПРОСП. К.МАРКСА, 35;468023
305675;Ф.Укрексімбанк,м.Дніпропетр;"Ф-Я АТ ""УКРЕКСІМБАНК"",ДНІПРОПЕТРОВСЬК";19358796;м.Дніпропетровськ вул. Леніна, 26;745-43-15
305749;"ПАТ ""БАНК КРЕДИТ ДНІПРО""";"ПАТ ""БАНК КРЕДИТ ДНІПРО""";14352406;м.Дніпропетровськ вул. Леніна, буд.17;373767,373768,373769
305750;"КРИВОРІЗЬКА Ф.ПАТКБ""ПРИВАТБ";"КР.ФІЛІЯ ПАТКБ""ПРИВАТБАНК"", КРИВИЙ РІГ";14360570;м.КРИВИЙ РІГ вул. Костенка, 21 / 49094, м.Дніпропетровськ, вул.;401-91-01
305835;"КрфАТ""Б""ФІНАНСИ ТА КРЕДИТ""";"Криворзьк ф.АТ""Б""ФІН ТА КР""М.КРИВ РІГ";24609556;м.Кривий Ріг вул.Костенка, 6;74-75-40
305868;"Дніпр.Ф.ВАТ""ВіЕйБіБанк""";"ДНІПР.Ф ВАТ""ВІЕЙБІБАНК""М.ДНІПРОПЕТРОВС";20255771;м.Дніпропетровськ вул.Столярова, 7;31-21-20
305880;"ПАТ ""КБ ""Земельний Капітал""";"ПАТ ""КБ ""Земельний Капітал""";20280450;м.Дніпропетровськ проспект Пушкіна, 15;
305987;"ПАТ ""ЄКБ""";"ПАТ ""ЄКБ""";20305925;м.Дніпропетровськ вулиця Артема, будинок 94;311302
306005;"ФАТ ""УФГ"",М.ДНІПРОПЕТРОВСЬК";"ДН.ФАТ ""УФГ"",М.ДНІПРОПЕТРОВСЬК";19429763;м.ДНІПРОПЕТРОВСЬК ВУЛ.ЧЕРВОНОГО КОЗАЦТВА, 10/87;
306458;"ФАБ ""ПІВДЕННИЙ"" В М.ДН-ВСЬК";"ДН.ФАБ""ПІВДЕННИЙ"",М.ДНІПРОПЕТРОВСЬК";25843395;м.Дніпропетровськ вул. Леніна,36;7786232
306500;"ПАТ ""АБ ""РАДАБАНК""";"ПАТ ""АБ ""РАДАБАНК""";21322127;м.Дніпропетровськ пр. Кірова, 46;323673
306566;"ДФ АБ ""УКООПСПІЛКА""";"ДФ АБ ""УКООПСПІЛКА""";24614706;м.Дніпропетровськ вул.Миронова,4;744-02-66
306704;"ПАТ ""КЛАСИКБАНК""";"ПАТ ""КЛАСИКБАНК""";23926846;м.Дніпропетровськ вул. Баумана, 10, нежитлове приміщення № 75;463202
306823;"Ф ПрАТ ""УФГ"" у м.Кривий Ріг";"Філія ПрАТ ""УФГ"" у м.Кривий Ріг";24238491;м.КРИВИЙ РІГ ВУЛ. КОБИЛЯНСЬКОГО, 219;0
306890;"Дніпр.ФПАТ ""Кредитпромбанк""";"ФІЛІЯПАТ""КРЕДИТПРОМБАНК"",М.ДНІПРОПЕТРО";24993313;м.Дніпропетровськ просп. Пушкіна, 7;370-98-93
306964;"ДНІПРОПЕТР.ФАБ""ЕКСПРЕС-БАНК";"ДН.ФАБ ""ЕКСПРЕС-БАНК"", М. ДНІПР-СЬК";25724963;м.ДНІПРОПЕТРОВСЬК Вул. Плеханова, 17;399-222
306975;"ФАБ ""Південний"", Кривий Ріг";"ФІЛІЯ АБ ""ПІВДЕННИЙ"", М. КРИВИЙ РІГ";25725537;м.КРИВИЙ РІГ ВУЛ. ТБІЛІСЬКА, 2;4095955
307004;"ДНІПР.Ф АТ ""МІСТО БАНК""";"ДНІПРОПЕТРОВ.ФІЛІЯ АТ ""МІСТО БАНК""";33506841;м.Дніпропетровськ вул.Виконкомівська, 13 офіс. 29;31 44 49
307123;"ПАТ ""Банк Восток""";"ПАТ ""Банк Восток""";26237202;м.Дніпропетровськ вул.Курсантська, 24;
307178;"Дн-ська обласна ФПрАТ ""УФГ""";"Дніпроп-ська обласна філія ПрАТ ""УФГ""";26239158;м.Дніпропетровськ пр. Набережна Перемоги, 86-а;0
307231;"Ф""ДРРУ""АТ Банк""Фін та Кред""";"Ф""ДРРУ""АТ""Б""ФІН ТА КР""М.ДНІПРОПЕТРОВС";26460727;м.Дніпропетровськ вул. Плєханова, 9;790-03-12
307305;"ПАТ ""КБ ""АКСІОМА""";"ПАТ ""КБ ""АКСІОМА""";33972230;м.Дніпропетровськ вулиця Сімферопольська, будинок 11, приміщення 25;
307327;"ЖовтневаФ""ТАС-Комерцбанк""Дн";"ЖОВТНЕВА ФАКБ""ТАС-КОМЕРЦБАНК""М.ДН-СЬК";34001185;м.Дніпропетровськ вул.Ворошилова,21-ж;
307349;"ДФ ПАТ ""ЄКБ""";"ДФ ПАТ ""ЄКБ"", М.ДНІПРОПЕТРОВСЬК";34410946;м.Дніпропетровськ вул.Сімферопольська, будинок 11, приміщення 25, оф;7135747
307350;"ПАТ ""АКБ ""КОНКОРД""";"ПАТ ""АКБ ""КОНКОРД""";34514392;м.Дніпропетровськ вул. Артема, буд.94;
307394;"ПАТ ""АКТАБАНК""";"ПАТ ""АКТАБАНК""";35863708;м.Дніпропетровськ вул.Шевченка, буд. 53;
307424;"ПАТ ""ІнтерКредитБанк""";"ПАТ ""ІнтерКредитБанк""";37731532;м.Дніпропетровськ вул. Титова, буд.36;-
307435;"ПАТ ""МЕЛІОР БАНК""";"ПАТ ""МЕЛІОР БАНК""";37987811;м.Дніпропетровськ вул. Ливарна, б.9, пр.75;-
307770;"ПАТ ""А - БАНК""";"ПАТ ""А - БАНК""";14360080;м.Дніпропетровськ вул. Батумська, 11;
308304;"ФАТ ""ІМЕКСБАНК"" в АРК";"філія АТ ""ІМЕКСБАНК"" в АРК";34871422;м.Сімферополь пр. Кірова, 29/1, літ `А`;603046
311034;Упр. НБУ в Житомир. обл.;УПРАВЛІННЯ НБУ В ЖИТОМИРСЬКИЙ ОБЛАСТІ;09311032;м.Житомир вул. Лятошинського, 5;
311324;Ф-я Укрексімбанк, Житомир;"Ф-Я АТ ""УКРЕКСІМБАНК"", ЖИТОМИР";20401758;м.Житомир вул. Перемоги, 23;22-66-51
311528;"Житомир.ОДАТ""Райф.Б.Аваль""";"ЖОД АТ""РАЙФФАЙЗЕН БАНК АВАЛЬ""М.ЖИТОМИР";20404691;м.Житомир пл. Перемоги, 10;413-802
311584;"Житомирська ФПАТ""Укрінбанк""";"ЖИТОМИРСЬКА ФПАТ""УКРІНБАНК"" М.ЖИТОМИР";20413514;м.Житомир вул. Київська, 81;221522
311647;ФЖитомирське обласнеАТОщад;ФЖИТОМИРСЬКЕ ОБЛАСНЕ АТОЩАД М.ЖИТОМИР;09311380;м.Житомир вул. Перемоги, 15;423455
311670;"ЖФ ПАТ ""Західінкомбанк""";"Житомирська Ф.ПАТ ""Західінкомбанк""";36699312;м.Житомир вул. Олега Ольжича, 9;47-15-64
311744;"ЖИТОМ.РУ ПАТ КБ""ПРИВАТБАНК""";"ЖИТОМИР.РУ ПАТ КБ""ПРИВАТБАНК""М.ЖИТОМИР";14360570;м.Житомир,49094,Дніпро-вськ вул. Перемоги, 99, вул.Набережна Перемоги, 30;48-11-01
312152;Упр. НБУ в Закарпат.обл;УПРАВЛІННЯ НБУ В ЗАКАРПАТСЬКІЙ ОБЛАСТІ;09312155;м.Ужгород пл. Пушкіна, 1;
312226;Ф-я Укрексімбанк,Ужгород;"Ф-Я АТ ""УКРЕКСІМБАНК"",УЖГОРОД";09805194;м.Ужгород пл. Жупанатська, 1;61-22-58
312248;"АТ ""КомІнвестБанк""";"АТ ""КомІнвестБанк""";19355562;м.Ужгород вул. Юрія Гойди, 10;
312334;"""ЛІСБАНК""";"ЗАКАРПАТСЬКИЙ АКБ ""ЛІСБАНК"" УЖГОРОД";09806130;м.Ужгород вул. О.Волошина, 52;8-0312-619342
312345;"Закарпат.ОДАТ""Райф.Б.Аваль""";"ЗОДАТ""РАЙФФАЙЗЕН БАНК АВАЛЬ""М.УЖГОРОД";22090417;м.Ужгород пл. Театральна, 19;619701
312356;ФЗакарпатське обласнАТОщад;ФЗАКАРПАТСЬКЕ ОБЛАСН АТОЩАД М.УЖГОРОД;09312190;м.Ужгород вул. Корзо, 15;32363
312378;"ЗАКАР.РУ ПАТ КБ""ПРИВАТБАНК""";"ЗАКАРП.РУ ПАТ КБ""ПРИВАТБАНК"",М.УЖГОРОД";14360570;м.Ужгород проспект Свободи, 14, 49094, м. Дніпропетровськ, в;67-91-70
312549;"Філія АТ ""УФГ"", м.Мукачеве";"ФІЛІЯ АТ ""УФГ"", М.МУКАЧЕВО";25998637;м.Мукачеве вул. Достоєвського, 6;0
312613;"Закарпат. обл. ФПрАТ ""УФГ""";"Закарпатська обласна філія ПрАТ ""УФГ""";20453318;м.Ужгород вул. Минайська, 11/2;0
312668;"Закарп.ФАТ ""БРОКБІЗНЕСБАНК""";"ЗАКАРПАТ.ФАТ""БРОКБІЗНЕСБАНК"" М.УЖГОРОД";33591442;м.Ужгород Православна набережна, 7;61-47-01
312798;"Закарп. рег. ФПрАТ ""УФГ""";Закарпатська регіональна ФПрАТ УФГ;36531472;м.Ужгород вул. Собранецька, 89;0
313009;"ПАТ ""МОТОР-БАНК""";"ПАТ ""МОТОР-БАНК""";35345213;м.Запоріжжя проспект Моторобудівників, буд. 54 `Б`;720-54-12
313184;"Запорізька ФПАТ""Укрінбанк""";"ЗАПОРІЗЬКА ФПАТ""УКРІНБАНК"" М.ЗАПОРІЖЖЯ";19361433;м.Запоріжжя просп.Леніна, 155/вул.Миру, 13, приміщення № 57;224-61-66
313355;Ф ПАТ ПІБ в м.Запоріжжя;ФІЛІЯ ПАТ ПІБ В М.ЗАПОРІЖЖЯ;09313350;м.Запоріжжя пр.Маяковського, 20-а;2260610
313377;Упр. НБУ в Запорізькій обл.;УПРАВЛІННЯ НБУ В ЗАПОРІЗЬКІЙ ОБЛАСТІ;09313373;м.Запоріжжя вул. Дзержинського, 23;_
313399;"ЗАП. РУ ПАТ КБ""ПРИВАТБАНК""";"ЗАП.РУ ПАТ КБ""ПРИВАТБАНК"", М.ЗАПОРІЖЖЯ";14360570;м.Запоріжжя пл. Інженерна, 1,  49094, м. Дніпропетровськ, вул.;700-37-00
313582;"АТ ""МетаБанк""";"АТ ""МетаБанк""";20496061;м.Запоріжжя пр.Металургів, 30;227-03-80
313731;"Ф""ЗРУ""АТ""Б""Фін. та Кред""";"Ф""ЗРУ""АТ""Б""ФІН ТА КР""М.ЗАПОРІЖ";25821086;м.Запоріжжя вул. 40-років Радянської України, 39;213-06-31
313753;"ФАБ""ПІВДЕННИЙ""в м.Запоріжжі";"ФІЛІЯ АБ ""ПІВДЕННИЙ"" В М. ЗАПОРІЖЖІ";26013572;м.Запоріжжя проспект Леніна, 226;2123541
313827;"Запоріж.ОДАТ""Райф.Б.Аваль""";"ЗОДАТ""РАЙФФАЙЗЕНБАНКАВАЛЬ""М.ЗАПОРІЖЖЯ";23794014;м.Запоріжжя вул. Тургенєва, 29;641578
313849;"АКБ ""ІНДУСТРІАЛБАНК""";"АКБ ""ІНДУСТРІАЛБАНК""";13857564;м.Запоріжжя вул. Сорок років Радянської України, 39 Д;218-43-00
313957;ФЗапорізьке обласне АТОщад;ФЗАПОРІЗЬКЕ ОБЛАСНЕ АТОЩАД М.ЗАПОРІЖЖ;02760363;м.Запоріжжя просп. Леніна, 48;7691903
313979;Ф-я Укрексімбанк,Запоріжжя;"Ф-Я АТ""УКРЕКСІМБАНК"",ЗАПОРІЖЖЯ";24905013;м.Запоріжжя проспект Леніна, 111 а;787 49 25
315397;"ХмельницькаФПАТ ""Укрінбанк""";"ХМЕЛЬН.ФПАТ""УКРІНБАНК"" М.ХМЕЛЬНИЦЬКИЙ";14166738;м.Хмельницький просп. Миру 99/101;78-95-35
315405;"ХМЕЛЬН.Ф.ПАТКБ ""ПРИВАТБАНК""";"ХМЕЛ.Ф.ПАТКБ""ПРИВАТБАНК,М.ХМЕЛЬНИЦЬКИЙ";14360570;м.Хмельницький вул.Проскурівська, 19, 49094, м.Дніпропетровськ, в;72-01-72
315438;Упр. НБУ у  Хмельницьк.обл.;УПРАВЛІННЯ НБУ У ХМЕЛЬНИЦЬКІЙ ОБЛАСТІ;09315432;м.Хмельницький вул. Володимирська, 91;
315494;Хмельницька обл. Ф ПрАТ УФГ;"Хмельницька обласна філія ПрАТ ""УФГ""";26217412;м.Хмельницький вул. Проскурівська, 107/2;0382
315568;"ХРФ ""УКООПСПІЛКА""";"ХРФ ""УКООПСПІЛКА""";19358454;м.Хмельницький вул. Герцена, 10;76-23-48
315609;"Ф-я""Укрексімбанк"",Хмельн.";"Ф-Я АТ ""УКРЕКСІМБАНК"",ХМЕЛЬНИЦЬКИЙ";23563450;м.Хмельницький вул. Прибузька 14/1;70-04-44
