MFO;SNAME;NAME;IKOD;ADRESS;TELEFON
696221;"В№41 ВАТ АБ ""Укргазбанк""";"В№41 ВАТАБ ""УКРГАЗБАНК""М.КАЛУШ";;м.Калуш площа Героєв, 10;78-121, 122, 123
696232;"Калуське В№1ВАТ""Ерсте Банк""";"КАЛУСЬКЕ В№1 ВАТ ""ЕРСТЕ БАНК"" М.КАЛУШ";;м.Калуш проспект Лесі Украєнки, 2;27-84-20
696243;"тех.Галиц.від.Ів-Фр.ОФАКБ""У";"ГАЛИЦ.В.ІВ-ФР.ОФАКБ""УСБ""М.ГАЛИЧ";;м.Галич вул. Коновальця, 14;2-29-03
696265;"Долин.в.Ів-ФрОФ""Укрсоцбанк""";"ДОЛИН.В.ІВ-ФР.ОФ""УКРСОЦБАНК"",М.ДОЛИНА";;м.Долина вул. Грушевського, 1 В;55-31-08
696276;"тех.Ів-Фран.обл.філ.АКБ""УСБ";"ІВ-ФРАН.ОФАКБ""УСБ""М.ІВ-ФРАНКІВСЬК";;м.Івано-Франківськ вул. Незалежності, 44;23-10-34
696287;"Від.№30АБ""Таврика""";"ВІД.№30АБ""ТАВРИКА""М.ІВАНО-ФРАНКІВСЬК";;м.Івано-Франківськ вул.Бельведерська, 61;75-02-96
696298;"В.№16ТОВ""КБ""Актив-банк""";"В.№16ТОВ""КБ""АКТИВ-БАНК""М.ІВ-ФРАНК-КУ";;м.Івано-Франківськ вул. Євгена Коновальця, 80-а;71-44-12,13
696306;"ІВАНО-ФР.ВІД.№1АБ""УКРКОМУНБ";"ІВАНО-ФРАНК.ВІД.№1АБ""УКРКОМУНБАНК""";;м.Івано - Франківськ вул. Гнатюка Академіка (вул. Крупськоє), буд. 2/3;8-050-348-94-54
696317;Ів.-Фр.рег.Від.Електрон Бан;"Ів.-Фр.рег.Від.ВАТ ""Електрон Банк""";;м.Івано-Франківськ вул.Військових ветеранів, 12;24-93-44
696328;"ІФ Від.№1 ""Електрон Банк""";"ІФ Відділення №1 ВАТ ""Електрон Банк""";;м.Надвірна вул.Соборна, 163;2-07-31
696339;"ІФ Від.№2 ""Електрон Банк""";"ІФ Відділення №2 ВАТ ""Електрон Банк""";;м.Івано-Франківськ вул.Макухи, 2;77-55-54
696340;"ІФ Від.№3 ""Електрон Банк""";"ІФ Відділення №3 ВАТ ""Електрон Банк""";;м.Івано-Франківськ вул.Стуса, 17;77-80-28
696351;"ІФ Від.№4 ""Електрон Банк""";"ІФ Відділення №4 ВАТ ""Електрон Банк""";;м.Івано-Франківськ вул.Галицька, 114;50-07-57
696362;"ІФ Від.№5 ""Електрон Банк""";"ІФ Відділення №5 ВАТ ""Електрон Банк""";;м.Надвірна вул.Грушевського, 10/1;2-91-61
696373;"ІФ Від.№6 ""Електрон Банк""";"ІФ Відділення №6 ВАТ ""Електрон Банк""";;м.Івано-Франківськ вул.Будівельників,18а;50-39-00
696384;"ІФ Від.№7 ""Електрон Банк""";"ІФ Відділення №7 ВАТ ""Електрон Банк""";;м.Коломия вул.Винниченка В., 1б;4-76-79
696395;"ІФ Від.№8 ""Електрон Банк""";"ІФ Відділення №8 ВАТ ""Електрон Банк""";;м.Коломия вул.Тютюнника, 2;5-55-11
